page,occ_title,occ_text
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/C1C92DD066589475CA2584A8000E7A2C?opendocument,"UNIT GROUP 1213 LIVESTOCK FARMERS
","
LIVESTOCK FARMERS plan, organise, control, coordinate and perform farming operations to breed and raise livestock.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

breeding and raising livestock for the production of honey, meat, milk, skins, eggs and wool 
monitoring and maintaining the health and condition of livestock 
providing pastures and fodder to maintain appropriate nutritional levels 
moving livestock to optimise feeding opportunities 
organising and conducting farming operations such as catching, drenching and milking livestock, sterilising machines, and collecting, grading and packaging produce 
directing and overseeing general farming activities such as maintaining pens, sheds and cages, fertilising, controlling pests and weeds, and growing fodder 
maintaining fences, equipment and water supply systems 
organising the sale, purchase and transportation of livestock and produce 
maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly 
managing business capital including budgeting, taxation, debt and loan management 
may select, train and supervise staff and contractors

Occupations:
121311 Apiarist 
121312 Beef Cattle Farmer 
121313 Dairy Cattle Farmer 
121314 Deer Farmer 
121315 Goat Farmer 
121316 Horse Breeder 
121317 Mixed Livestock Farmer 
121318 Pig Farmer 
121321 Poultry Farmer 
121322 Sheep Farmer 
121399 Livestock Farmers nec
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/39538C341806DC0CCA2584A8000E7999?opendocument,"UNIT GROUP 1214 MIXED CROP AND LIVESTOCK FARMERS 
","

MIXED CROP AND LIVESTOCK FARMERS plan, organise, control, coordinate and perform farming operations to both grow crops and to breed and raise livestock. 
Indicative Skill Level:
In Australia and New Zealand: 

Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).


Tasks Include: 


planning and coordinating the production and marketing of crops and livestock 
breeding and raising livestock for the production of meat, wool, skins, milk or eggs, and growing grain, seed crops, vegetables, fruit or nuts 
monitoring and maintaining the health and condition of livestock 
providing pastures and fodder to maintain appropriate nutritional levels 
selecting and purchasing seed for planting, planning and implementing breeding programs 
directing and overseeing general farming activities such as fertilising, and pest and weed control 
maintaining farm buildings, fences, equipment and water supply systems 
organising the sale, purchase and transportation of livestock and produce 
maintaining and evaluating records of farming activities, monitoring market activity and planning production accordingly 
managing business capital, monitoring market activity and planning production accordingly 
may select, train and supervise staff and contractors


Occupation: 

121411 Mixed Crop and Livestock Farmer


"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/526531A510C46162CA2584A8000E78C5?opendocument,"SUB-MAJOR GROUP 13 SPECIALIST MANAGERS
","
SPECIALIST MANAGERS plan, organise, direct, control and coordinate special functions within organisations such as advertising and sales, financial, human resources, production and distribution, education, health and welfare, and ICT.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this sub-major group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

developing, implementing and monitoring strategies, policies and plans for their area of control 
establishing and directing operational and administrative procedures 
directing and coordinating the allocation of resources 
monitoring work progress and performance, and adjusting processes and resources to keep goals on track 
controlling budget planning and report preparation, and monitoring and controlling expenditure for their area of control 
controlling selection, training and performance of staff 
representing the organisation in negotiations, and at conventions, seminars, public hearings and forums
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/96CE8E9748333215CA2584A8000E79B0?opendocument,"MINOR GROUP 131 ADVERTISING, PUBLIC RELATIONS AND SALES MANAGERS
","
ADVERTISING, PUBLIC RELATIONS AND SALES MANAGERS plan, organise, direct, control and coordinate advertising, public relations, sales and marketing activities within organisations.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this minor group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

directing the development and implementation of sales strategies and setting sales targets in order to maximise an organisation's sales and customer loyalty
directing the development and implementation of strategies to promote an organisation's goods and services to as many people as possible
directing the development and implementation of strategies to generate increased consumption of an organisation's goods and services through the creation and reinforcement of 'brand image' or 'brand loyalty'
directing the development and implementation of strategies to build and maintain an organisation's image and reputation with its customers, investors and the wider public
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/0872364BCC1AC8D7CA2584A8000E7A24?opendocument,"UNIT GROUP 1311 ADVERTISING, PUBLIC RELATIONS AND SALES MANAGERS
","
ADVERTISING, PUBLIC RELATIONS AND SALES MANAGERS plan, organise, direct, control and coordinate advertising, public relations, sales and marketing activities within organisations.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

directing the development and implementation of sales strategies and setting sales targets in order to maximise an organisation's sales and customer loyalty
directing the development and implementation of strategies to promote an organisation's goods and services to as many people as possible
directing the development and implementation of strategies to generate increased consumption of an organisation's goods and services through the creation and reinforcement of 'brand image' or 'brand loyalty'
directing the development and implementation of strategies to build and maintain an organisation's image and reputation with its customers, investors and the wider public

Occupations:
131112 Sales and Marketing Manager
131113 Advertising Manager
131114 Public Relations Manager
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/634E927FFB0F35B4CA2584A8000E7979?opendocument,"MINOR GROUP 132 BUSINESS ADMINISTRATION MANAGERS
","
BUSINESS ADMINISTRATION MANAGERS plan, organise, direct, control and coordinate the corporate, financial, human resource, policy, planning, research and development activities and guidelines within organisations.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this minor group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

formulating and administering policy advice and strategic planning 
establishing and directing operational and administrative procedures 
implementing, monitoring and evaluating budgetary and accounting strategies and policies 
providing advice to senior Managers and board members on strategic, policy and program and legislative issues 
ensuring compliance with relevant legislation, regulations and standards 
controlling selection, training and performance of staff 
representing the organisation in negotiations, and at conventions, seminars, public hearings and forums
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/73FA01AB8E4EACD7CA2584A8000E797A?opendocument,"UNIT GROUP 1321 CORPORATE SERVICES MANAGERS
","
CORPORATE SERVICES MANAGERS plan, organise, direct, control and coordinate the overall administration of organisations.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

providing high level administrative, strategic planning and operational support, research and advice to senior management on administrative matters such as staff management, financial planning, facility management and information services 
developing and managing the organisation's administrative, financial, physical and staff resources 
developing and implementing administrative, financial and operational procedural statements and guidelines for use by staff in the organisation 
analysing complex resource management issues and initiatives that affect the organisation, and preparing associated reports, correspondence and submissions 
providing information and support for the preparation of financial reports and budgets 
leading, managing and developing administrative staff to ensure smooth business operations and the provision of accurate and timely information 
representing the organisation in negotiations, and at conventions, seminars, public hearings and forums, and promoting existing and new programs and policies

Occupation:
132111 Corporate Services Manager
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/89C3F2E5E29C1F72CA2584A8000E79FF?opendocument,"UNIT GROUP 1322 FINANCE MANAGERS
","
FINANCE MANAGERS plan, organise, direct, control and coordinate the financial and accounting activities within organisations.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

determining, implementing, monitoring, reviewing and evaluating budgetary and accounting strategies, policies and plans in consultation with other Managers 
providing financial information and interpreting the implications for business performance and funding needs 
coordinating the development, implementation and monitoring of accounting systems 
directing the preparation of financial reports that summarise and forecast the organisation's financial position such as income statements, balance sheets and analyses of future earnings and income 
assessing capital finance proposals and the financial status of operational projects 
advising on investment strategies, sources of funds and the distribution of earnings 
delivering long range profit forecasts, budgeting and financial reporting 
ensuring compliance with financial legislation and standards

Occupation:
132211 Finance Manager
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/D04982D1E93DA4CBCA2584A8000E7988?opendocument,"UNIT GROUP 1323 HUMAN RESOURCE MANAGERS
","
HUMAN RESOURCE MANAGERS plan, organise, direct, control and coordinate the human resource and workplace relations activities within organisations.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

determining, implementing, monitoring, reviewing and evaluating human resource management strategies, policies and plans to meet business needs 
advising and assisting other Managers in applying sound recruitment and selection practices, and appropriate induction, training and development programs 
developing and implementing performance management systems to plan, appraise and improve individual and team performance 
representing the organisation in negotiations with unions and employees to determine remuneration and other conditions of employment 
developing and implementing occupational health and safety programs and equal employment opportunity programs, and ensuring compliance with related statutory requirements 
overseeing the application of redundancy and other employee retrenchment policies 
monitoring employment costs and productivity levels 
may train and advise other Managers in personnel and workplace relations matters

Occupation:
132311 Human Resource Manager
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/269A89E5F2FB623CCA2584A8000E7A08?opendocument,"UNIT GROUP 1324 POLICY AND PLANNING MANAGERS
","
POLICY AND PLANNING MANAGERS plan, organise, direct, control and coordinate policy advice and strategic planning within organisations.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

developing, implementing and monitoring strategic plans, programs, policies, processes, systems and procedures to achieve goals, objectives and work standards 
developing, implementing, administering and participating in policy research and analysis 
coordinating the implementation of policies and practices 
establishing activity measures and measurements of accountability 
overseeing and participating in the development of policy documents and reports 
consulting with and providing expert advice to government officials and board members on policy, program and legislative issues 
representing the organisation in negotiations, and at conventions, seminars, public hearings and forums convened to discuss policy issues

Occupation:
132411 Policy and Planning Manager
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/74EA6076D9921E17CA2584A8000E7A1F?opendocument,"UNIT GROUP 1325 RESEARCH AND DEVELOPMENT MANAGERS
","
RESEARCH AND DEVELOPMENT MANAGERS plan, organise, direct, control and coordinate research and development activities within organisations.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

determining, implementing and monitoring research and development strategies, policies and plans 
developing and implementing research projects, priorities and targets to support commercial and policy developments 
leading major research projects and coordinating activities of other research workers 
assessing the benefits and monitoring the costs and effectiveness of research and development activities 
interpreting results of research projects and recommending associated product and service development innovations 
providing advice on research and development options available to the organisation 
monitoring leading-edge developments in relevant disciplines and assessing implications for the organisation 
may publish results of significant research projects

Occupation:
132511 Research and Development Manager
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/DF823FC53638230DCA2584A8000E78C6?opendocument,"MINOR GROUP 133 CONSTRUCTION, DISTRIBUTION AND PRODUCTION MANAGERS
","
CONSTRUCTION, DISTRIBUTION AND PRODUCTION MANAGERS plan, organise, direct, control and coordinate building and construction, engineering, importing, exporting and wholesaling, manufacturing, production, supply and distribution activities within organisations.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this minor group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

identifying business opportunities, and developing and implementing business plans and marketing, operating, human resource, pricing and credit policies and procedures 
establishing project schedules and budgets 
coordinating labour resources and procurement and delivery of materials, plant and equipment 
negotiating contracts with suppliers and customers to meet resource, cost and quality requirements 
monitoring costs and work progress and performance, and adjusting processes and resources to ensure goals are met 
directing the preparation of production records and reports
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/27C20EA4551A3C77CA2584A8000E7958?opendocument,"UNIT GROUP 1331 CONSTRUCTION MANAGERS
","
CONSTRUCTION MANAGERS plan, organise, direct, control and coordinate the construction of civil engineering projects, buildings and dwellings, and the physical and human resources involved in building and construction.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Registration or licensing may be required.
Tasks Include:

interpreting architectural drawings and specifications 
coordinating labour resources, and procurement and delivery of materials, plant and equipment 
consulting with Architects, Engineering Professionals and other professionals, and Technical and Trades Workers 
negotiating with building owners, property developers and subcontractors involved in the construction process to ensure projects are completed on time and within budget 
preparing tenders and contract bids 
operating and implementing coordinated work programs for sites 
ensuring adherence to building legislation and standards of performance, quality, cost and safety 
arranging submission of plans to local authorities 
building under contract, or subcontracting specialised building services 
overseeing the standard and progress of subcontractors' work 
arranging building inspections by local authorities

Occupations:
133111 Construction Project Manager 
133112 Project Builder
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/51E8ADEDFA4A5931CA2584A8000E7A3B?opendocument,"UNIT GROUP 1332 ENGINEERING MANAGERS
","
ENGINEERING MANAGERS plan, organise, direct, control and coordinate the engineering and technical operations of organisations.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

determining, implementing and monitoring engineering strategies, policies and plans 
interpreting plans, drawings and specifications, and providing advice on engineering methods and procedures to achieve construction and production requirements 
establishing project schedules and budgets 
ensuring conformity with specifications and plans, and with laws, regulations and safety standards 
ensuring engineering standards of quality, cost, safety, timeliness and performance are observed 
overseeing maintenance requirements to optimise efficiency 
liaising with marketing, research and manufacturing managers regarding engineering aspects of new construction and product design 
may contribute to research and development projects

Occupation:
133211 Engineering Manager
"
https://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/983FC9C1D76CC9ACCA2584A8000E7A31?opendocument,"UNIT GROUP 1333 IMPORTERS, EXPORTERS AND WHOLESALERS
","
IMPORTERS, EXPORTERS AND WHOLESALERS plan, organise, direct, control and coordinate the operations of importing, exporting and wholesaling establishments.
Indicative Skill Level:
In Australia and New Zealand:
Most occupations in this unit group have a level of skill commensurate with a bachelor degree or higher qualification. At least five years of relevant experience may substitute for the formal qualification. In some instances relevant experience and/or on-the-job training may be required in addition to the formal qualification (ANZSCO Skill Level 1).

Tasks Include:

identifying local and overseas business opportunities 
developing and implementing business plans, and marketing, operating, human resource, pricing and credit policies and procedures 
determining the mix of products and services to be provided and negotiating conditions of trade 
liaising with local and overseas suppliers and distributors about orders and products 
researching regulatory and statutory requirements affecting the importing, exporting, wholesaling and distribution of goods 
monitoring business performance and preparing estimates, financial statements and reports of operations 
appointing agents and distributors 
arranging the shipping of goods into and out of the country 
overseeing the display and sale of merchandise and preparation of product information for customer service staff and customers 
implementing after-sales service procedures

Occupations:
133311 Importer or Exporter 
133312 Wholesaler
"
